Date,Open,High,Low,Close,Adj Close,Volume
"May 26, 2006",1272.71,1280.54,1272.5,1280.16,1280.16,1814020000
"May 25, 2006",1258.41,1273.26,1258.41,1272.88,1272.88,2372730000
"May 24, 2006",1256.56,1264.53,1245.34,1258.57,1258.57,2999030000
"May 23, 2006",1262.06,1273.67,1256.15,1256.58,1256.58,2605250000
"May 22, 2006",1267.03,1268.77,1252.98,1262.07,1262.07,2773010000
"May 19, 2006",1261.81,1272.15,1256.28,1267.03,1267.03,2982300000
"May 18, 2006",1270.25,1274.89,1261.75,1261.81,1261.81,2537490000
"May 17, 2006",1291.73,1291.73,1267.31,1270.32,1270.32,2830200000
"May 16, 2006",1294.5,1297.88,1288.51,1292.08,1292.08,2386210000
"May 15, 2006",1291.19,1294.81,1284.51,1294.5,1294.5,2505660000
"May 12, 2006",1305.88,1305.88,1290.38,1291.24,1291.24,2567970000
"May 11, 2006",1322.63,1322.63,1303.45,1305.92,1305.92,2531520000
"May 10, 2006",1324.57,1325.51,1317.44,1322.85,1322.85,2268550000
"May 09, 2006",1324.66,1326.6,1322.48,1325.14,1325.14,2157290000
"May 08, 2006",1325.76,1326.7,1322.87,1324.66,1324.66,2151300000
"May 05, 2006",1312.25,1326.53,1312.25,1325.76,1325.76,2294760000
"May 04, 2006",1307.85,1315.14,1307.85,1312.25,1312.25,2431450000
"May 03, 2006",1313.21,1313.47,1303.92,1308.12,1308.12,2395230000
"May 02, 2006",1305.19,1313.66,1305.19,1313.21,1313.21,2403470000
"May 01, 2006",1310.61,1317.21,1303.46,1305.19,1305.19,2437040000
"Apr 28, 2006",1309.72,1316.04,1306.16,1310.61,1310.61,2419920000
"Apr 27, 2006",1305.41,1315,1295.57,1309.72,1309.72,2772010000
"Apr 26, 2006",1301.74,1310.97,1301.74,1305.41,1305.41,2502690000
"Apr 25, 2006",1308.11,1310.79,1299.17,1301.74,1301.74,2366380000
